County,State,2010 Census,Base,2019-Pop
Lauderdale,Mississippi,80261,80280,74125
Lawrence,Mississippi,12929,12951,12586
Leake,Mississippi,23805,23803,22786
Lee,Mississippi,82910,82910,85436
Leflore,Mississippi,32317,32382,28183
Lincoln,Mississippi,34869,34866,34153
Lowndes,Mississippi,59779,59779,58595
Madison,Mississippi,95203,95203,106272
Marion,Mississippi,27088,27080,24573
Marshall,Mississippi,37144,37151,35294
Monroe,Mississippi,36989,36979,35252
Montgomery,Mississippi,10925,10933,9775
Neshoba,Mississippi,29676,29692,29118
Newton,Mississippi,21720,21715,21018
Noxubee,Mississippi,11545,11546,10417
Oktibbeha,Mississippi,47671,47657,49587
Panola,Mississippi,34707,34698,34192
Pearl River,Mississippi,55834,55739,55535
Perry,Mississippi,12250,12251,11973
Pike,Mississippi,40404,40401,39288
Pontotoc,Mississippi,29957,29946,32174
Prentiss,Mississippi,25276,25274,25126
Quitman,Mississippi,8223,8222,6792
Rankin,Mississippi,141617,142052,155271
Scott,Mississippi,28264,28260,28124
Sharkey,Mississippi,4916,4916,4321
Simpson,Mississippi,27503,27500,26658
Smith,Mississippi,16491,16488,15916
Stone,Mississippi,17786,17790,18336
Sunflower,Mississippi,29450,29383,25110
Tallahatchie,Mississippi,15378,15385,13809
Tate,Mississippi,28886,28872,28321
Tippah,Mississippi,22232,22232,22015
Tishomingo,Mississippi,19593,19603,19383
Tunica,Mississippi,10778,10778,9632
Union,Mississippi,27134,27143,28815
Walthall,Mississippi,15443,15440,14286
Warren,Mississippi,48773,48770,45381
Washington,Mississippi,51137,51135,43909
Wayne,Mississippi,20747,20747,20183
Webster,Mississippi,10253,10264,9689
Wilkinson,Mississippi,9878,9878,8630
Winston,Mississippi,19198,19201,17955
Yalobusha,Mississippi,12678,12678,12108
Yazoo,Mississippi,28065,28065,29690
Adair,Missouri,25607,25606,25343
Andrew,Missouri,17291,17296,17712
Atchison,Missouri,5685,5683,5143
Audrain,Missouri,25529,25531,25388
Barry,Missouri,35597,35601,35789
Barton,Missouri,12402,12396,11754
Bates,Missouri,17049,17047,16172
Benton,Missouri,19056,19057,19443
Bollinger,Missouri,12363,12358,12133
Boone,Missouri,162642,162652,180463
Buchanan,Missouri,89201,89191,87364
Butler,Missouri,42794,42792,42478
Caldwell,Missouri,9424,9418,9020
Callaway,Missouri,44332,44331,44743
Camden,Missouri,44002,44016,46305
Cape Girardeau,Missouri,75674,75674,78871
Carroll,Missouri,9295,9294,8679
Carter,Missouri,6265,6267,5982
Cass,Missouri,99478,99500,105780
Cedar,Missouri,13982,13982,14349
Chariton,Missouri,7831,7811,7426
Christian,Missouri,77422,77414,88595
Clark,Missouri,7139,7129,6797
Clay,Missouri,221939,221906,249948
Clinton,Missouri,20743,20743,20387
Cole,Missouri,75990,75975,76745
Cooper,Missouri,17601,17604,17709
Crawford,Missouri,24696,24719,23920
Dade,Missouri,7883,7879,7561
Dallas,Missouri,16777,16769,16878
Daviess,Missouri,8433,8429,8278
DeKalb,Missouri,12892,12884,12547
Dent,Missouri,15657,15692,15573
Douglas,Missouri,13684,13686,13185
Dunklin,Missouri,31953,31957,29131
Franklin,Missouri,101492,101468,103967
Gasconade,Missouri,15222,15206,14706
Gentry,Missouri,6738,6740,6571
Greene,Missouri,275174,275179,293086
Grundy,Missouri,10261,10260,9850
Harrison,Missouri,8957,8961,8352
Henry,Missouri,22272,22291,21824
Hickory,Missouri,9627,9629,9544
Holt,Missouri,4912,4912,4403
Howard,Missouri,10144,10142,10001
Howell,Missouri,40400,40386,40117
Iron,Missouri,10630,10615,10125
Jackson,Missouri,674158,674166,703011
Jasper,Missouri,117404,117391,121328
Jefferson,Missouri,218733,218722,225081
Johnson,Missouri,52595,52565,54062
Knox,Missouri,4131,4131,3959
Laclede,Missouri,35571,35596,35723
Lafayette,Missouri,33381,33369,32708
Lawrence,Missouri,38634,38647,38355
Lewis,Missouri,10211,10209,9776
Lincoln,Missouri,52566,52536,59013
Linn,Missouri,12761,12773,11920
Livingston,Missouri,15195,15196,15227
McDonald,Missouri,23083,23083,22837
Macon,Missouri,15566,15566,15117
Madison,Missouri,12226,12217,12088
Maries,Missouri,9176,9153,8697
Marion,Missouri,28781,28781,28530
Mercer,Missouri,3785,3785,3617
Miller,Missouri,24748,24748,25619
Mississippi,Missouri,14358,14376,13180
Moniteau,Missouri,15607,15605,16132
Monroe,Missouri,8840,8844,8644
Montgomery,Missouri,12236,12224,11551
Morgan,Missouri,20565,20567,20627
New Madrid,Missouri,18956,18940,17076
Newton,Missouri,58114,58118,58236
Nodaway,Missouri,23370,23373,22092
Oregon,Missouri,10881,10881,10529
Osage,Missouri,13878,13909,13615
Ozark,Missouri,9723,9728,9174
Pemiscot,Missouri,18296,18287,15805
Perry,Missouri,18971,18971,19136
Pettis,Missouri,42201,42214,42339
Phelps,Missouri,45156,45124,44573
Pike,Missouri,18516,18511,18302
Platte,Missouri,89322,89329,104418
Polk,Missouri,31137,31130,32149
Pulaski,Missouri,52274,52282,52607
Putnam,Missouri,4979,4979,4696
Ralls,Missouri,10167,10175,10309
Randolph,Missouri,25414,25418,24748
Ray,Missouri,23494,23516,23018
Reynolds,Missouri,6696,6690,6270
Ripley,Missouri,14100,14106,13288
St Charles,Missouri,360485,360495,402022
St Clair,Missouri,9805,9805,9397
Ste Genevieve,Missouri,18145,18147,17894
St Francois,Missouri,65359,65369,67215
St Louis,Missouri,998954,998985,994205
Saline,Missouri,23370,23370,22761
Schuyler,Missouri,4431,4431,4660
Scotland,Missouri,4843,4853,4902
Scott,Missouri,39191,39199,38280
Shannon,Missouri,8441,8435,8166
Shelby,Missouri,6373,6372,5930
Stoddard,Missouri,29968,29968,29025
Stone,Missouri,32202,32208,31952
Sullivan,Missouri,6714,6714,6089
Taney,Missouri,51675,51672,55928
Texas,Missouri,26008,26016,25398
Vernon,Missouri,21159,21163,20563
Warren,Missouri,32513,32539,35649
Washington,Missouri,25195,25201,24730
Wayne,Missouri,13521,13535,12873
Webster,Missouri,36202,36264,39592
Worth,Missouri,2171,2169,2013
Wright,Missouri,18815,18742,18289
St Louis city,Missouri,319294,319289,300576
Beaverhead,Montana,9246,9246,9453
Big Horn,Montana,12865,12863,13319
Blaine,Montana,6491,6491,6681
Broadwater,Montana,5612,5608,6237
Carbon,Montana,10078,10078,10725
Carter,Montana,1160,1160,1252
Cascade,Montana,81327,81326,81366
Chouteau,Montana,5813,5813,5635
Custer,Montana,11699,11699,11402
Daniels,Montana,1751,1751,1690
Dawson,Montana,8966,8963,8613
Deer Lodge,Montana,9298,9294,9140
Fallon,Montana,2890,2890,2846
Fergus,Montana,11586,11590,11050
Flathead,Montana,90928,90927,103806
Gallatin,Montana,89513,89515,114434
Garfield,Montana,1206,1209,1258
Glacier,Montana,13399,13399,13753
Golden Valley,Montana,884,884,821
Granite,Montana,3079,3074,3379
Hill,Montana,16096,16096,16484
Jefferson,Montana,11406,11403,12221
Judith Basin,Montana,2072,2072,2007
Lake,Montana,28746,28748,30458
Lewis and Clark,Montana,63395,63394,69432
Liberty,Montana,2339,2339,2337
Lincoln,Montana,19687,19683,19980
McCone,Montana,1734,1734,1664
Madison,Montana,7691,7691,8600
Meagher,Montana,1891,1891,1862
Mineral,Montana,4223,4229,4397
Missoula,Montana,109299,109296,119600
Musselshell,Montana,4538,4538,4633
Park,Montana,15636,15635,16606
Petroleum,Montana,494,488,487
Phillips,Montana,4253,4252,3954
Pondera,Montana,6153,6155,5911
Powder River,Montana,1743,1743,1682
Powell,Montana,7027,7034,6890
Prairie,Montana,1179,1179,1077
Ravalli,Montana,40212,40210,43806
Richland,Montana,9746,9746,10803
Roosevelt,Montana,10425,10425,11004
Rosebud,Montana,9233,9235,8937
Sanders,Montana,11413,11413,12113
Sheridan,Montana,3384,3384,3309
Silver Bow,Montana,34200,34209,34915
Stillwater,Montana,9117,9096,9642
Sweet Grass,Montana,3651,3651,3737
Teton,Montana,6073,6071,6147
Toole,Montana,5324,5324,4736
Treasure,Montana,718,718,696
Valley,Montana,7369,7369,7396
Wheatland,Montana,2168,2168,2126
Wibaux,Montana,1017,1017,969
Yellowstone,Montana,147972,147991,161300
Adams,Nebraska,31364,31367,31363
Antelope,Nebraska,6685,6685,6298
Arthur,Nebraska,460,460,463
Banner,Nebraska,690,690,745
Blaine,Nebraska,478,478,465
Boone,Nebraska,5505,5505,5192
Box Butte,Nebraska,11308,11308,10783
Boyd,Nebraska,2099,2099,1919
Brown,Nebraska,3145,3143,2955
Buffalo,Nebraska,46102,46099,49659
Burt,Nebraska,6858,6858,6459
Butler,Nebraska,8395,8395,8016
Cass,Nebraska,25241,25241,26248
Cedar,Nebraska,8852,8852,8402
Chase,Nebraska,3966,3966,3924
Cherry,Nebraska,5713,5713,5689
Cheyenne,Nebraska,9998,9998,8910
Clay,Nebraska,6542,6539,6203
Colfax,Nebraska,10515,10515,10709
Cuming,Nebraska,9139,9139,8846
Custer,Nebraska,10939,10939,10777
Dakota,Nebraska,21006,21006,20026
Dawes,Nebraska,9182,9182,8589
Dawson,Nebraska,24326,24326,23595
Deuel,Nebraska,1941,1932,1794
Dixon,Nebraska,6000,6003,5636
Dodge,Nebraska,36691,36685,36565
Douglas,Nebraska,517110,517116,571327
Dundy,Nebraska,2008,2008,1693
Fillmore,Nebraska,5890,5890,5462
Franklin,Nebraska,3225,3225,2979
Frontier,Nebraska,2756,2756,2627
Furnas,Nebraska,4959,4959,4676
Gage,Nebraska,22311,22311,21513
Garden,Nebraska,2057,2057,1837
Garfield,Nebraska,2049,2049,1969
Gosper,Nebraska,2044,2044,1990
Grant,Nebraska,614,614,623
Greeley,Nebraska,2538,2538,2356
Hall,Nebraska,58607,58611,61353
Hamilton,Nebraska,9124,9114,9324
Harlan,Nebraska,3423,3417,3380
Hayes,Nebraska,967,960,922
Hitchcock,Nebraska,2908,2908,2762
Holt,Nebraska,10435,10435,10067
Hooker,Nebraska,736,736,682
Howard,Nebraska,6274,6274,6445
Jefferson,Nebraska,7547,7547,7046
Johnson,Nebraska,5217,5217,5071
Kearney,Nebraska,6489,6489,6495
Keith,Nebraska,8368,8371,8034
Keya Paha,Nebraska,824,824,806
Kimball,Nebraska,3821,3821,3632
Knox,Nebraska,8701,8701,8332
Lancaster,Nebraska,285407,285407,319090
Lincoln,Nebraska,36288,36288,34914
Logan,Nebraska,763,763,748
Loup,Nebraska,632,628,664
McPherson,Nebraska,539,539,494
Madison,Nebraska,34876,34876,35099
Merrick,Nebraska,7845,7859,7755
Morrill,Nebraska,5042,5042,4642
Nance,Nebraska,3735,3735,3519
Nemaha,Nebraska,7248,7248,6972
Nuckolls,Nebraska,4500,4500,4148
Otoe,Nebraska,15740,15740,16012
Pawnee,Nebraska,2773,2773,2613
Perkins,Nebraska,2970,2967,2891
Phelps,Nebraska,9188,9188,9034
Pierce,Nebraska,7266,7266,7148
Platte,Nebraska,32237,32237,33470
Polk,Nebraska,5406,5402,5213
Red Willow,Nebraska,11055,11055,10724
Richardson,Nebraska,8363,8363,7865
Rock,Nebraska,1526,1528,1357
Saline,Nebraska,14200,14200,14224
Sarpy,Nebraska,158840,158835,187196
Saunders,Nebraska,20780,20778,21578
Scotts Bluff,Nebraska,36970,36970,35618
Seward,Nebraska,16750,16750,17284
Sheridan,Nebraska,5469,5469,5246
Sherman,Nebraska,3152,3152,3001
Sioux,Nebraska,1311,1311,1166
Stanton,Nebraska,6129,6128,5920
Thayer,Nebraska,5228,5228,5003
Thomas,Nebraska,647,647,722
Thurston,Nebraska,6940,6939,7224
Valley,Nebraska,4260,4260,4158
Washington,Nebraska,20234,20232,20729
Wayne,Nebraska,9595,9592,9385
Webster,Nebraska,3812,3812,3487
Wheeler,Nebraska,818,818,783
York,Nebraska,13665,13665,13679
Churchill,Nevada,24877,24875,24909
Clark,Nevada,1951269,1951268,2266715
Douglas,Nevada,46997,47000,48905
Elko,Nevada,48818,48942,52778
Esmeralda,Nevada,783,784,873
Eureka,Nevada,1987,1987,2029
Humboldt,Nevada,16528,16521,16831
Lander,Nevada,5775,5775,5532
Lincoln,Nevada,5345,5339,5183
Lyon,Nevada,51980,51982,57510
Mineral,Nevada,4772,4770,4505
Nye,Nevada,43946,43945,46523
Pershing,Nevada,6753,6752,6725
Storey,Nevada,4010,4013,4123
Washoe,Nevada,421407,421429,471519
White Pine,Nevada,10030,10026,9580
Carson City,Nevada,55274,55269,55916
Belknap,New Hampshire,60088,60075,61303
Carroll,New Hampshire,47818,47823,48910
Cheshire,New Hampshire,77117,77122,76085
Coos,New Hampshire,33055,33052,31563
Grafton,New Hampshire,89118,89139,89886
Hillsborough,New Hampshire,400721,400706,417025
Merrimack,New Hampshire,146445,146451,151391
Rockingham,New Hampshire,295223,295204,309769
Strafford,New Hampshire,123143,123151,130633
Sullivan,New Hampshire,43742,43739,43146
Atlantic,New Jersey,274549,274525,263670
Bergen,New Jersey,905116,905107,932202
Burlington,New Jersey,448734,448730,445349
Camden,New Jersey,513657,513535,506471
Cape May,New Jersey,97265,97257,92039
Cumberland,New Jersey,156898,156627,149527
Essex,New Jersey,783969,783891,798975
Gloucester,New Jersey,288288,288756,291636
Hudson,New Jersey,634266,634284,672391
Hunterdon,New Jersey,128349,127361,124371
Mercer,New Jersey,366513,367485,367430
Middlesex,New Jersey,809858,810038,825062
Monmouth,New Jersey,630380,630362,618795
Morris,New Jersey,492276,492281,491845
Ocean,New Jersey,576567,576546,607186
Passaic,New Jersey,501226,501600,501826
Salem,New Jersey,66083,66072,62385
Somerset,New Jersey,323444,323479,328934
Sussex,New Jersey,149265,148936,140488
Union,New Jersey,536499,536464,556341
Warren,New Jersey,108692,108642,105267
Bernalillo,New Mexico,662564,662477,679121
Catron,New Mexico,3725,3727,3527
Chaves,New Mexico,65645,65648,64615
Cibola,New Mexico,27213,27215,26675
Colfax,New Mexico,13750,13751,11941
Curry,New Mexico,48376,48376,48954
De Baca,New Mexico,2022,2024,1748
Doña Ana,New Mexico,209233,209217,218195
Eddy,New Mexico,53829,53828,58460
Grant,New Mexico,29514,29512,26998
Guadalupe,New Mexico,4687,4688,4300
Harding,New Mexico,695,695,625
Hidalgo,New Mexico,4894,4898,4198
Lea,New Mexico,64727,64726,71070
Lincoln,New Mexico,20497,20493,19572
Los Alamos,New Mexico,17950,17950,19369
Luna,New Mexico,25095,25095,23709
McKinley,New Mexico,71492,71485,71367
Mora,New Mexico,4881,4881,4521
Otero,New Mexico,63797,63832,67490
Quay,New Mexico,9041,9040,8253
Rio Arriba,New Mexico,40246,40220,38921
Roosevelt,New Mexico,19846,19840,18500
Sandoval,New Mexico,131561,131621,146748
San Juan,New Mexico,130044,130045,123958
San Miguel,New Mexico,29393,29375,27277
Santa Fe,New Mexico,144170,144232,150358
Sierra,New Mexico,11988,11996,10791
Socorro,New Mexico,17866,17861,16637
Taos,New Mexico,32937,32933,32723
Torrance,New Mexico,16383,16380,15461
Union,New Mexico,4549,4553,4059
Valencia,New Mexico,76569,76585,76688
Albany,New York,304204,304208,305506
Allegany,New York,48946,48923,46091
Bronx,New York,1385108,1384580,1418207
Broome,New York,200600,200675,190488
Cattaraugus,New York,80317,80337,76117
Cayuga,New York,80026,80008,76576
Chautauqua,New York,134905,134907,126903
Chemung,New York,88830,88847,83456
Chenango,New York,50477,50511,47207
Clinton,New York,82128,82131,80485
Columbia,New York,63096,63066,59461
Cortland,New York,49336,49290,47581
Delaware,New York,47980,47962,44135
Dutchess,New York,297488,297454,294218
Erie,New York,919040,919134,918702
Essex,New York,39370,39373,36885
Franklin,New York,51599,51601,50022
Fulton,New York,55531,55513,53383
Genesee,New York,60079,59934,57280
Greene,New York,49221,49214,47188
Hamilton,New York,4836,4841,4416
Herkimer,New York,64519,64469,61319
Jefferson,New York,116229,116232,109834
Kings,New York,2504700,2504721,2559903
Lewis,New York,27087,27090,26296
Livingston,New York,65393,65206,62914
Madison,New York,73442,73452,70941
Monroe,New York,744344,744394,741770
Montgomery,New York,50219,50264,49221
Nassau,New York,1339532,1339880,1356924
New York,New York,1585873,1586381,1628706
Niagara,New York,216469,216480,209281
Oneida,New York,234878,234860,228671
Onondaga,New York,467026,467067,460528
Ontario,New York,107931,108099,109777
Orange,New York,372813,372826,384940
Orleans,New York,42883,42890,40352
Oswego,New York,122109,122105,117124
Otsego,New York,62259,62278,59493
Putnam,New York,99710,99654,98320
Queens,New York,2230722,2230619,2253858
Rensselaer,New York,159429,159433,158714
Richmond,New York,468730,468730,476143
Rockland,New York,311687,311691,325789
St Lawrence,New York,111944,111940,107740
Saratoga,New York,219607,219598,229863
Schenectady,New York,154727,154751,155299
Schoharie,New York,32749,32723,30999
Schuyler,New York,18343,18362,17807
Seneca,New York,35251,35248,34016
Steuben,New York,98990,98982,95379
Suffolk,New York,1493350,1493116,1476601
Sullivan,New York,77547,77501,75432
Tioga,New York,51125,51049,48203
Tompkins,New York,101564,101592,102180
Ulster,New York,182493,182519,177573
Warren,New York,65707,65692,63944
Washington,New York,63216,63254,61204
Wayne,New York,93772,93751,89918
Westchester,New York,949113,949218,967506
Wyoming,New York,42155,42154,39859
Yates,New York,25348,25364,24913
Alamance,North Carolina,151131,151155,169509
Alexander,North Carolina,37198,37182,37497
Alleghany,North Carolina,11155,11152,11137
Anson,North Carolina,26948,26929,24446
Ashe,North Carolina,27281,27240,27203
Avery,North Carolina,17797,17807,17557
Beaufort,North Carolina,47759,47784,46994
Bertie,North Carolina,21282,21275,18947
Bladen,North Carolina,35190,35170,32722
Brunswick,North Carolina,107431,107429,142820
Buncombe,North Carolina,238318,238330,261191
Burke,North Carolina,90912,90837,90485
Cabarrus,North Carolina,178011,178121,216453
Caldwell,North Carolina,83029,83058,82178
Camden,North Carolina,9980,9980,10867
Carteret,North Carolina,66469,66463,69473
Caswell,North Carolina,23719,23731,22604
Catawba,North Carolina,154358,154717,159551
Chatham,North Carolina,63505,63485,74470
Cherokee,North Carolina,27444,27447,28612
Chowan,North Carolina,14793,14793,13943
Clay,North Carolina,10587,10590,11231
Cleveland,North Carolina,98078,98032,97947
Columbus,North Carolina,58098,58124,55508
Craven,North Carolina,103505,103498,102139
Cumberland,North Carolina,319431,319431,335509
Currituck,North Carolina,23547,23547,27763
Dare,North Carolina,33920,33920,37009
Davidson,North Carolina,162878,162822,167609
Davie,North Carolina,41240,41221,42846
Duplin,North Carolina,58505,58417,58741
Durham,North Carolina,267587,270001,321488
Edgecombe,North Carolina,56552,56539,51472
Forsyth,North Carolina,350670,350638,382295
Franklin,North Carolina,60619,60563,69685
Gaston,North Carolina,206086,206098,224529
Gates,North Carolina,12197,12185,11562
Graham,North Carolina,8861,8858,8441
Granville,North Carolina,59916,57538,60443
Greene,North Carolina,21362,21353,21069
Guilford,North Carolina,488406,488454,537174
Halifax,North Carolina,54691,54624,50010
Harnett,North Carolina,114678,114691,135976
Haywood,North Carolina,59036,59032,62317
Henderson,North Carolina,106740,106719,117417
Hertford,North Carolina,24669,24677,23677
Hoke,North Carolina,46952,46889,55234
Hyde,North Carolina,5810,5817,4937
Iredell,North Carolina,159437,159464,181806
Jackson,North Carolina,40271,40270,43938
Johnston,North Carolina,168878,168878,209339
Jones,North Carolina,10153,10167,9419
Lee,North Carolina,57866,57849,61779
Lenoir,North Carolina,59495,59507,55949
Lincoln,North Carolina,78265,78014,86111
McDowell,North Carolina,44996,45002,45756
Macon,North Carolina,33922,33925,35858
Madison,North Carolina,20764,20782,21755
Martin,North Carolina,24505,24515,22440
Mecklenburg,North Carolina,919628,919664,1110356
Mitchell,North Carolina,15579,15581,14964
Montgomery,North Carolina,27798,27782,27173
Moore,North Carolina,88247,88250,100880
Nash,North Carolina,95840,95829,94298
New Hanover,North Carolina,202667,202683,234473
Northampton,North Carolina,22099,22106,19483
Onslow,North Carolina,177772,177801,197938
Orange,North Carolina,133801,133693,148476
Pamlico,North Carolina,13144,13143,12726
Pasquotank,North Carolina,40661,40661,39824
Pender,North Carolina,52217,52196,63060
Perquimans,North Carolina,13453,13452,13463
Person,North Carolina,39464,39476,39490
Pitt,North Carolina,168148,168176,180742
Polk,North Carolina,20510,20516,20724
Randolph,North Carolina,141752,141824,143667
Richmond,North Carolina,46639,46647,44829
Robeson,North Carolina,134168,134229,130625
Rockingham,North Carolina,93643,93645,91010
Rowan,North Carolina,138428,138494,142088
Rutherford,North Carolina,67810,67819,67029
Sampson,North Carolina,63431,63471,63531
Scotland,North Carolina,36157,36160,34823
Stanly,North Carolina,60585,60586,62806
Stokes,North Carolina,47401,47413,45591
Surry,North Carolina,73673,73749,71783
Swain,North Carolina,13981,13978,14271
Transylvania,North Carolina,33090,33089,34385
Tyrrell,North Carolina,4407,4407,4016
Union,North Carolina,201292,201332,239859
Vance,North Carolina,45422,45408,44535
Wake,North Carolina,900993,901052,1111761
Warren,North Carolina,20972,21028,19731
Washington,North Carolina,13228,13193,11580
Watauga,North Carolina,51079,51061,56177
Wayne,North Carolina,122623,122661,123131
Wilkes,North Carolina,69340,69310,68412
Wilson,North Carolina,81234,81224,81801
Yadkin,North Carolina,38406,38409,37667
Yancey,North Carolina,17818,17817,18069
Adams,North Dakota,2343,2343,2216
Barnes,North Dakota,11066,11064,10415
Benson,North Dakota,6660,6660,6832
Billings,North Dakota,783,784,928
Bottineau,North Dakota,6429,6429,6282
Bowman,North Dakota,3151,3151,3024
Burke,North Dakota,1968,1968,2115
Burleigh,North Dakota,81308,81308,95626
Cass,North Dakota,149778,149778,181923
Cavalier,North Dakota,3993,3994,3762
Dickey,North Dakota,5289,5287,4872
Divide,North Dakota,2071,2071,2264
Dunn,North Dakota,3536,3536,4424
Eddy,North Dakota,2385,2385,2287
Emmons,North Dakota,3550,3545,3241
Foster,North Dakota,3343,3337,3210
Golden Valley,North Dakota,1680,1680,1761
Grand Forks,North Dakota,66861,66864,69451
Grant,North Dakota,2394,2394,2274
Griggs,North Dakota,2420,2421,2231
Hettinger,North Dakota,2477,2478,2499
Kidder,North Dakota,2435,2435,2480
LaMoure,North Dakota,4139,4141,4046
Logan,North Dakota,1990,1988,1850
McHenry,North Dakota,5395,5392,5745
McIntosh,North Dakota,2809,2813,2497
McKenzie,North Dakota,6360,6359,15024
McLean,North Dakota,8962,8962,9450
Mercer,North Dakota,8424,8424,8187
Morton,North Dakota,27471,27469,31364
Mountrail,North Dakota,7673,7663,10545
Nelson,North Dakota,3126,3126,2879
Oliver,North Dakota,1846,1848,1959
Pembina,North Dakota,7413,7403,6801
Pierce,North Dakota,4357,4359,3975
Ramsey,North Dakota,11451,11451,11519
Ransom,North Dakota,5457,5457,5218
Renville,North Dakota,2470,2470,2327
Richland,North Dakota,16321,16321,16177
Rolette,North Dakota,13937,13939,14176
Sargent,North Dakota,3829,3829,3898
Sheridan,North Dakota,1321,1321,1315
Sioux,North Dakota,4153,4154,4230
Slope,North Dakota,727,727,750
Stark,North Dakota,24199,24199,31489
Steele,North Dakota,1975,1975,1890
Stutsman,North Dakota,21100,21100,20704
Towner,North Dakota,2246,2246,2189
Traill,North Dakota,8121,8121,8036
Walsh,North Dakota,11119,11126,10641
Ward,North Dakota,61675,61675,67641
Wells,North Dakota,4207,4207,3834
Williams,North Dakota,22398,22399,37589
Adams,Ohio,28550,28541,27698
Allen,Ohio,106331,106313,102351
Ashland,Ohio,53139,53140,53484
Ashtabula,Ohio,101497,101489,97241
Athens,Ohio,64757,64764,65327
Auglaize,Ohio,45949,45917,45656
Belmont,Ohio,70400,70400,67006
Brown,Ohio,44846,44826,43432
Butler,Ohio,368130,368136,383134
Carroll,Ohio,28836,28834,26914
Champaign,Ohio,40097,40101,38885
Clark,Ohio,138333,138339,134083
Clermont,Ohio,197363,197366,206428
Clinton,Ohio,42040,42048,41968
Columbiana,Ohio,107841,107852,101883
Coshocton,Ohio,36901,36900,36600
Crawford,Ohio,43784,43783,41494
Cuyahoga,Ohio,1280122,1280114,1235072
Darke,Ohio,52959,52968,51113
Defiance,Ohio,39037,39026,38087
Delaware,Ohio,174214,174172,209177
Erie,Ohio,77079,77063,74266
Fairfield,Ohio,146156,146194,157574
Fayette,Ohio,29030,29034,28525
Franklin,Ohio,1163414,1163476,1316756
Fulton,Ohio,42698,42698,42126
Gallia,Ohio,30934,30942,29898
Geauga,Ohio,93389,93405,93649
Greene,Ohio,161573,161577,168937
Guernsey,Ohio,40087,40092,38875
Hamilton,Ohio,802374,802371,817473
Hancock,Ohio,74782,74789,75783
Hardin,Ohio,32058,32063,31365
Harrison,Ohio,15864,15860,15040
Henry,Ohio,28215,28215,27006
Highland,Ohio,43589,43606,43161
Hocking,Ohio,29380,29369,28264
Holmes,Ohio,42366,42363,43960
Huron,Ohio,59626,59623,58266
Jackson,Ohio,33225,33219,32413
Jefferson,Ohio,69709,69716,65325
Knox,Ohio,60921,60928,62322
Lake,Ohio,230041,230051,230149
Lawrence,Ohio,62450,62448,59463
Licking,Ohio,166492,166482,176862
Logan,Ohio,45858,45848,45672
Lorain,Ohio,301356,301374,309833
Lucas,Ohio,441815,441815,428348
Madison,Ohio,43435,43438,44731
Mahoning,Ohio,238823,238787,228683
Marion,Ohio,66501,66505,65093
Medina,Ohio,172332,172333,179746
Meigs,Ohio,23770,23767,22907
Mercer,Ohio,40814,40816,41172
Miami,Ohio,102506,102503,106987
Monroe,Ohio,14642,14631,13654
Montgomery,Ohio,535153,535200,531687
Morgan,Ohio,15054,15044,14508
Morrow,Ohio,34827,34825,35328
Muskingum,Ohio,86074,86086,86215
Noble,Ohio,14645,14655,14424
Ottawa,Ohio,41428,41433,40525
Paulding,Ohio,19614,19610,18672
Perry,Ohio,36058,36037,36134
Pickaway,Ohio,55698,55684,58457
Pike,Ohio,28709,28571,27772
Portage,Ohio,161419,161424,162466
Preble,Ohio,42270,42254,40882
Putnam,Ohio,34499,34496,33861
Richland,Ohio,124475,124474,121154
Ross,Ohio,78064,78076,76666
Sandusky,Ohio,60944,60946,58518
Scioto,Ohio,79499,79650,75314
Seneca,Ohio,56745,56742,55178
Shelby,Ohio,49423,49455,48590
Stark,Ohio,375586,375591,370606
Summit,Ohio,541781,541772,541013
Trumbull,Ohio,210312,210332,197974
Tuscarawas,Ohio,92582,92585,91987
Union,Ohio,52300,52331,58988
Van Wert,Ohio,28744,28759,28275
Vinton,Ohio,13435,13430,13085
Warren,Ohio,212693,212798,234602
Washington,Ohio,61778,61787,59911
Wayne,Ohio,114520,114516,115710
Williams,Ohio,37642,37652,36692
Wood,Ohio,125488,125489,130817
Wyandot,Ohio,22615,22617,21772
Adair,Oklahoma,22683,22668,22194
Alfalfa,Oklahoma,5642,5639,5702
Atoka,Oklahoma,14182,14165,13758
Beaver,Oklahoma,5636,5636,5311
Beckham,Oklahoma,22119,22119,21859
Blaine,Oklahoma,11943,11943,9429
Bryan,Oklahoma,42416,42416,47995
Caddo,Oklahoma,29600,29598,28762
Canadian,Oklahoma,115541,115566,148306
Carter,Oklahoma,47557,47729,48111
Cherokee,Oklahoma,46987,46992,48657
Choctaw,Oklahoma,15205,15199,14672
Cimarron,Oklahoma,2475,2475,2137
Cleveland,Oklahoma,255755,255990,284014
Coal,Oklahoma,5925,5927,5495
Comanche,Oklahoma,124098,124098,120749
Cotton,Oklahoma,6193,6190,5666
Craig,Oklahoma,15029,15027,14142
Creek,Oklahoma,69967,69992,71522
Custer,Oklahoma,27469,27540,29003
Delaware,Oklahoma,41487,41498,43009
Dewey,Oklahoma,4810,4810,4891
Ellis,Oklahoma,4151,4151,3859
Garfield,Oklahoma,60580,60580,61056
Garvin,Oklahoma,27576,27571,27711
Grady,Oklahoma,52431,52430,55834
Grant,Oklahoma,4527,4532,4333
Greer,Oklahoma,6239,6239,5712
Harmon,Oklahoma,2922,2922,2653
Harper,Oklahoma,3685,3682,3688
