County,State,2010 Census,Base,2019-Pop
Orange,California,3010232,3008989,3175692
Placer,California,348432,348502,398329
Plumas,California,20007,20007,18807
Riverside,California,2189641,2189765,2470546
Sacramento,California,1418788,1418735,1552058
San Benito,California,55269,55265,62808
San Bernardino,California,2035210,2035183,2180085
San Diego,California,3095313,3095349,3338330
San Francisco,California,805235,805184,881549
San Joaquin,California,685306,685306,762148
San Luis Obispo,California,269637,269597,283111
San Mateo,California,718451,718517,766573
Santa Barbara,California,423895,423947,446499
Santa Clara,California,1781642,1781686,1927852
Santa Cruz,California,262382,262350,273213
Shasta,California,177223,177221,180080
Sierra,California,3240,3239,3005
Siskiyou,California,44900,44900,43539
Solano,California,413344,413343,447643
Sonoma,California,483878,483861,494336
Stanislaus,California,514453,514450,550660
Sutter,California,94737,94756,96971
Tehama,California,63463,63440,65084
Trinity,California,13786,13784,12285
Tulare,California,442179,442182,466195
Tuolumne,California,55365,55368,54478
Ventura,California,823318,823398,846006
Yolo,California,200849,200855,220500
Yuba,California,72155,72142,78668
Adams,Colorado,441603,441697,517421
Alamosa,Colorado,15445,15440,16233
Arapahoe,Colorado,572003,572118,656590
Archuleta,Colorado,12084,12084,14029
Baca,Colorado,3788,3787,3581
Bent,Colorado,6499,6499,5577
Boulder,Colorado,294567,294560,326196
Broomfield,Colorado,55889,55861,70465
Chaffee,Colorado,17809,17809,20356
Cheyenne,Colorado,1836,1833,1831
Clear Creek,Colorado,9088,9073,9700
Conejos,Colorado,8256,8256,8205
Costilla,Colorado,3524,3524,3887
Crowley,Colorado,5823,5823,6061
Custer,Colorado,4255,4251,5068
Delta,Colorado,30952,30953,31162
Denver,Colorado,600158,599825,727211
Dolores,Colorado,2064,2064,2055
Douglas,Colorado,285465,285465,351154
Eagle,Colorado,52197,52201,55127
Elbert,Colorado,23086,23088,26729
El Paso,Colorado,622263,622253,720403
Fremont,Colorado,46824,46828,47839
Garfield,Colorado,56389,56373,60061
Gilpin,Colorado,5441,5449,6243
Grand,Colorado,14843,14843,15734
Gunnison,Colorado,15324,15324,17462
Hinsdale,Colorado,843,843,820
Huerfano,Colorado,6711,6711,6897
Jackson,Colorado,1394,1393,1392
Jefferson,Colorado,534543,534829,582881
Kiowa,Colorado,1398,1398,1406
Kit Carson,Colorado,8270,8270,7097
Lake,Colorado,7310,7310,8127
La Plata,Colorado,51334,51335,56221
Larimer,Colorado,299630,299630,356899
Las Animas,Colorado,15507,15507,14506
Lincoln,Colorado,5467,5469,5701
Logan,Colorado,22709,22709,22409
Mesa,Colorado,146723,146733,154210
Mineral,Colorado,712,712,769
Moffat,Colorado,13795,13791,13283
Montezuma,Colorado,25535,25541,26183
Montrose,Colorado,41276,41276,42758
Morgan,Colorado,28159,28159,29068
Otero,Colorado,18831,18833,18278
Ouray,Colorado,4436,4442,4952
Park,Colorado,16206,16203,18845
Phillips,Colorado,4442,4442,4265
Pitkin,Colorado,17148,17144,17767
Prowers,Colorado,12551,12551,12172
Pueblo,Colorado,159063,159063,168424
Rio Blanco,Colorado,6666,6673,6324
Rio Grande,Colorado,11982,11982,11267
Routt,Colorado,23509,23506,25638
Saguache,Colorado,6108,6108,6824
San Juan,Colorado,699,699,728
San Miguel,Colorado,7359,7359,8179
Sedgwick,Colorado,2379,2382,2248
Summit,Colorado,27994,27994,31011
Teller,Colorado,23350,23359,25388
Washington,Colorado,4814,4812,4908
Weld,Colorado,252825,252827,324492
Yuma,Colorado,10043,10043,10019
Fairfield,Connecticut,916829,916904,943332
Hartford,Connecticut,894014,894052,891720
Litchfield,Connecticut,189927,189880,180333
Middlesex,Connecticut,165676,165672,162436
New Haven,Connecticut,862477,862442,854757
New London,Connecticut,274055,274070,265206
Tolland,Connecticut,152691,152747,150721
Windham,Connecticut,118428,118380,116782
Kent,Delaware,162310,162350,180786
New Castle,Delaware,538479,538484,558753
Sussex,Delaware,197145,197103,234225
District of Columbia,District of Columbia,601723,601767,705749
Alachua,Florida,247336,247337,269043
Baker,Florida,27115,27115,29210
Bay,Florida,168852,168850,174705
Bradford,Florida,28520,28519,28201
Brevard,Florida,543376,543372,601942
Broward,Florida,1748066,1748146,1952778
Calhoun,Florida,14625,14627,14105
Charlotte,Florida,159978,159967,188910
Citrus,Florida,141236,141230,149657
