Season,TeamName,KeyField,CONF,SEED,WL%,EFGPct-OFF,TOPct,ORPct,FTRate,EFGPct-DEF,TOPct,ORPct,FTRate,Off_1-POINTDIST,Off_2,Off_3,Def_1,Def_2,Def_3,FG2Pct-MISC,FG3Pct,FTPct,BlockPct,OppFG2Pct,OppFG3Pct,OppFTPct,OppBlockPct,FG3Rate,OppFG3Rate,ARate,OppARate,StlRate,OppStlRate,DFP,AdjTempo,Tempo-SUMM,OE,AdjOE,DE,AdjDE,AdjEM,TARGET16
2018,Kansas,2018Kansas,7,1,3.857142857,57.63403263,16.18534999,28.891258,27.03962704,48.29479769,18.90811915,31.31504257,25.0867052,14.26094495,48.5478977,37.19115735,15.63287948,50.83207262,33.43419062,56.28140704,39.66712899,70.90517241,11.60377358,47.54716981,32.98507463,71.42857143,9.849246231,42.01631702,38.7283237,56.97399527,49.24137931,0.095801137,0.07664091,2.943332215,68.7,151,16.2,64,17.7,245,22.56,
2018,Kansas St.,2018Kansas St.,7,9,2,54.02750491,17.01096831,27.15765247,34.25016372,48.53820598,21.64053563,33.1175836,36.34551495,19.19686582,49.9510284,30.85210578,22.03842049,47.06510139,30.89647812,54.31309904,35.71428571,74.95219885,9.492273731,48.67549669,32.22036728,75.50274223,6.922257721,38.50687623,39.80066445,56.25,54.88958991,0.114124218,0.079671624,4.648914142,65.3,308,17.7,213,18.5,338,14.88,
2018,Kentucky,2018Kentucky,27,5,2.4,50.64259486,19.33072402,36.08247423,42.28886169,47.14369847,17.16608565,30.19571295,32.44994111,22.44611059,58.29428304,19.25960637,19.22300706,49.44500505,31.33198789,50.90016367,33.25242718,69.31982634,14.27125506,49.5951417,29.15492958,69.14700544,9.001636661,25.21419829,41.8138987,48.8801054,53.65853659,0.080041279,0.083565109,-0.079614929,69.1,119,16.6,81,17.6,232,18.04,
2018,Lipscomb,2018Lipscomb,5,15,2.555555556,50.8560558,20.35510267,28.49686848,41.02726696,51.95262484,19.36699089,23.26574173,38.92445583,22.549493,49.92757122,27.52293578,20.63569682,51.93154034,27.43276284,52.70132518,31.87919463,72.17928903,7.477567298,52.94117647,33.45259392,69.40789474,12.4362895,37.79327838,35.78745198,52.05091938,49.30362117,0.076578663,0.094364675,10.38497273,71.8,30,16.1,49,17,98,-9.55,
2018,LIU Brooklyn,2018LIU Brooklyn,21,16,1.125,52.09563164,19.88069229,30.05836576,38.96103896,51.37589433,16.30028325,28.92335766,32.3059989,20.53129221,48.2665466,31.20216119,17.75330396,54.36123348,27.88546256,52.14007782,34.68468468,69.09090909,7.615062762,51.63179916,33.92282958,68.65417376,7.879377432,39.31523022,34.23225096,46.54498044,46.85990338,0.074434819,0.09422129,9.089031916,69.1,118,17.4,167,17.4,185,0.17,
2018,Loyola Chicago,2018Loyola Chicago,19,11,5.6,58.95104895,19.35327796,22.03166227,34.12587413,47.70671835,19.94462812,26.10939112,27.13178295,17.55501222,52.22493888,30.2200489,16.60079051,52.39977414,30.99943535,56.92963753,41.8699187,73.56557377,6.847935549,46.72708963,32.97297297,70,9.168443497,34.40559441,35.85271318,58.37837838,50.07727975,0.097841572,0.099454345,7.571830829,67.2,226,18.7,312,17.2,146,-6.43,
2018,Marshall,2018Marshall,13,13,2.4,54.79452055,17.77406158,22.58726899,32.63847528,50.08314856,18.77743602,31.80987203,28.65853659,18.43971631,46.18794326,35.37234043,16.14849188,56.9837587,26.86774942,56.50759219,35.13870542,75.91240876,13.37529504,48.30841857,36.21013133,67.31141199,8.351409978,45.08636093,29.54545455,59.08513342,49.81412639,0.084092334,0.088392511,12.40521395,75.5,5,14,3,17.5,207,3.4,
2018,Miami FL,2018Miami FL,2,6,2.444444444,53.02839117,16.62797603,28.92741062,29.96845426,47.718509,19.32732279,27.70700637,27.05655527,15.63909774,52.8320802,31.42857143,17.06636921,53.54155047,29.28053542,52.49003984,35.97246127,65.68421053,10.78140455,47.47774481,32.11009174,72.68408551,8.964143426,36.65615142,35.02570694,48.50543478,50.53435115,0.097176483,0.082060141,5.950100484,67.4,212,17.5,193,17.9,277,15.94,
2018,Michigan,2018Michigan,6,3,4,54.25914817,14.2005038,26.2226847,28.07438512,49.31685101,19.99556234,23.45276873,29.79830839,14.46808511,48.79432624,36.73758865,17.60869565,55.65217391,26.73913043,54.43037975,36.02225313,65.38461538,8.210332103,47.23247232,36.20309051,70.74235808,10.33755274,43.13137373,29.47299935,55.09677419,45.26627219,0.094496,0.065259668,15.08352604,64,335,18.6,309,18.2,319,19.29,
2018,Michigan St.,2018Michigan St.,6,3,7.25,58.85294118,19.39236456,36.01321586,37.58823529,42.04545455,14.91720351,26.85483871,28.67965368,19.21679451,49.65684296,31.12636254,19.89690722,46.08247423,34.02061856,56.42201835,42.13114754,74.4913928,19.10774411,37.62626263,33.33333333,72.83018868,6.972477064,35.88235294,35.71428571,69.72477064,56.07196402,0.059668814,0.090465621,0.823575132,67.3,219,16.6,83,18.3,325,27.64,
