County,,2010 Census,Base,2019-Pop,,,,,,,,,
Broomfield, Colorado,"55,889","55,861","70,465",,,,,,,,,
Chaffee, Colorado,"17,809","17,809","20,356",,,,,,,,,
Cheyenne, Colorado,"1,836","1,833","1,831",,,,,,,,,
Clear Creek, Colorado,"9,088","9,073","9,700",,,,,,,,,
Conejos, Colorado,"8,256","8,256","8,205",,,,,,,,,
Costilla, Colorado,"3,524","3,524","3,887",,,,,,,,,
Crowley, Colorado,"5,823","5,823","6,061",,,,,,,,,
Custer, Colorado,"4,255","4,251","5,068",,,,,,,,,
Delta, Colorado,"30,952","30,953","31,162",,,,,,,,,
Denver, Colorado,"600,158","599,825","727,211",,,,,,,,,
Dolores, Colorado,"2,064","2,064","2,055",,,,,,,,,
Douglas, Colorado,"285,465","285,465","351,154",,,,,,,,,
Eagle, Colorado,"52,197","52,201","55,127",,,,,,,,,
Elbert, Colorado,"23,086","23,088","26,729",,,,,,,,,
El Paso, Colorado,"622,263","622,253","720,403",,,,,,,,,
Fremont, Colorado,"46,824","46,828","47,839",,,,,,,,,
Garfield, Colorado,"56,389","56,373","60,061",,,,,,,,,
Gilpin, Colorado,"5,441","5,449","6,243",,,,,,,,,
Grand, Colorado,"14,843","14,843","15,734",,,,,,,,,
Gunnison, Colorado,"15,324","15,324","17,462",,,,,,,,,
Hinsdale, Colorado,843,843,820,,,,,,,,,
Huerfano, Colorado,"6,711","6,711","6,897",,,,,,,,,
Jackson, Colorado,"1,394","1,393","1,392",,,,,,,,,
Jefferson, Colorado,"534,543","534,829","582,881",,,,,,,,,
Kiowa, Colorado,"1,398","1,398","1,406",,,,,,,,,
Kit Carson, Colorado,"8,270","8,270","7,097",,,,,,,,,
Lake, Colorado,"7,310","7,310","8,127",,,,,,,,,
La Plata, Colorado,"51,334","51,335","56,221",,,,,,,,,
Larimer, Colorado,"299,630","299,630","356,899",,,,,,,,,
Las Animas, Colorado,"15,507","15,507","14,506",,,,,,,,,
Lincoln, Colorado,"5,467","5,469","5,701",,,,,,,,,
Logan, Colorado,"22,709","22,709","22,409",,,,,,,,,
Mesa, Colorado,"146,723","146,733","154,210",,,,,,,,,
Mineral, Colorado,712,712,769,,,,,,,,,
Moffat, Colorado,"13,795","13,791","13,283",,,,,,,,,
Montezuma, Colorado,"25,535","25,541","26,183",,,,,,,,,
Montrose, Colorado,"41,276","41,276","42,758",,,,,,,,,
Morgan, Colorado,"28,159","28,159","29,068",,,,,,,,,
Otero, Colorado,"18,831","18,833","18,278",,,,,,,,,
Ouray, Colorado,"4,436","4,442","4,952",,,,,,,,,
Park, Colorado,"16,206","16,203","18,845",,,,,,,,,
Phillips, Colorado,"4,442","4,442","4,265",,,,,,,,,
Pitkin, Colorado,"17,148","17,144","17,767",,,,,,,,,
Prowers, Colorado,"12,551","12,551","12,172",,,,,,,,,
Pueblo, Colorado,"159,063","159,063","168,424",,,,,,,,,
Rio Blanco, Colorado,"6,666","6,673","6,324",,,,,,,,,
Rio Grande, Colorado,"11,982","11,982","11,267",,,,,,,,,
Routt, Colorado,"23,509","23,506","25,638",,,,,,,,,
Saguache, Colorado,"6,108","6,108","6,824",,,,,,,,,
San Juan, Colorado,699,699,728,,,,,,,,,
San Miguel, Colorado,"7,359","7,359","8,179",,,,,,,,,
Sedgwick, Colorado,"2,379","2,382","2,248",,,,,,,,,
Summit, Colorado,"27,994","27,994","31,011",,,,,,,,,
Teller, Colorado,"23,350","23,359","25,388",,,,,,,,,
Washington, Colorado,"4,814","4,812","4,908",,,,,,,,,
Weld, Colorado,"252,825","252,827","324,492",,,,,,,,,
Yuma, Colorado,"10,043","10,043","10,019",,,,,,,,,
Fairfield, Connecticut,"916,829","916,904","943,332",,,,,,,,,
Hartford, Connecticut,"894,014","894,052","891,720",,,,,,,,,
Litchfield, Connecticut,"189,927","189,880","180,333",,,,,,,,,
Middlesex, Connecticut,"165,676","165,672","162,436",,,,,,,,,
New Haven, Connecticut,"862,477","862,442","854,757",,,,,,,,,
New London, Connecticut,"274,055","274,070","265,206",,,,,,,,,
Tolland, Connecticut,"152,691","152,747","150,721",,,,,,,,,
Windham, Connecticut,"118,428","118,380","116,782",,,,,,,,,
Kent, Delaware,"162,310","162,350","180,786",,,,,,,,,
New Castle, Delaware,"538,479","538,484","558,753",,,,,,,,,
Sussex, Delaware,"197,145","197,103","234,225",,,,,,,,,
District of Columbia, District of Columbia,"601,723","601,767","705,749",,,,,,,,,
Alachua, Florida,"247,336","247,337","269,043",,,,,,,,,
Baker, Florida,"27,115","27,115","29,210",,,,,,,,,
Bay, Florida,"168,852","168,850","174,705",,,,,,,,,
Bradford, Florida,"28,520","28,519","28,201",,,,,,,,,
Brevard, Florida,"543,376","543,372","601,942",,,,,,,,,
Broward, Florida,"1,748,066","1,748,146","1,952,778",,,,,,,,,
Calhoun, Florida,"14,625","14,627","14,105",,,,,,,,,
